sku;nombre_en_defontana;bodega;stock_defontana;reservado;por_recibir
102152;CARISTOP 5000 PASTA X 51 G;BODEGACENTRAL;0;0;720
260104659;CLORHEXIDINA 0.12 120 ML ORALGENE;BODEGACENTRAL;0;0;0
3M-70-2014-2086-9;CLINPRO CLEAR MINT FLAVOR;BODEGACENTRAL;0;0;0
3MADHE003;ADHESIVO SCOTCHBOND UNIVERSAL PLUS ADHESIVE 1.5ML;BODEGACENTRAL;0;0;0
3MCONCISE001;KIT SELLANTE CONCISE FOTOCURADO;BODEGACENTRAL;0;0;0
3MDS1981M;DISCO SOFLEX 1981M;BODEGACENTRAL;0;0;0
3MDS1981SF;DISCO SOLFEX 1981SF;BODEGACENTRAL;0;0;0
3MDS1982F;DISCOS SOFLEX 1982F;BODEGACENTRAL;0;0;0
3MDS1982SF;DISCOS SOFLEX 1982SF;BODEGACENTRAL;0;0;0
3MDS2381F;DISCO SOFLEX 2381F;BODEGACENTRAL;0;0;0
3MDS2382F;DISCO SOFLEX 2382F;BODEGACENTRAL;0;0;0
3MFLUOR001;CLINPRO WHITE VARNISH 100 DOSIS 3M SABOR MENTA;BODEGACENTRAL;0;0;0
3MFLUOR002;CLINPRO WHITE VARNISH 100 DOSIS 3M SABOR CHERRY;BODEGACENTRAL;0;0;0
3MFLUOR006;CLINPRO WHITE VARNISH MENTA X UNIDAD;BODEGACENTRAL;0;0;0
3MFLUOR007;CLINPRO WHITE VARNISH CHERRY X UNIDAD;BODEGACENTRAL;0;0;0
3MVITRE001;VITREBOND 9 GR POLVO Y 5,5 ML LIQUIDO;BODEGACENTRAL;0;0;0
3MVITRE003;VITREBOND LIQUIDO 5.5 ML;BODEGACENTRAL;0;0;0
70201024928;CONCISE SELLANTE 3M;BODEGACENTRAL;0;0;0
9812285;OPALLIS ODONTOPED. B05 JERINGA REFILL 2 G.;BODEGACENTRAL;0;0;0
ACIDP502;ACIDO POLIGLICOLICO HR 25 50;BODEGACENTRAL;0;0;0
AGIN002;ALGINATO SIFLEX RAPIDO X 450 GRS;BODEGACENTRAL;0;0;0
AGIN003;ALGINATO SIFLEX NORMAL X 450 GRS;BODEGACENTRAL;0;0;0
ALCGEL5;ALCOHOL GEL 5 LT;BODEGACENTRAL;0;0;0
ANE006;ANESTESIA ISOCAINE 2%;BODEGACENTRAL;0;0;0
ANES005;ANESTESIA SEPTANEST 4%;BODEGACENTRAL;0;0;0
ANES006;ANESTESIA NEW STETIC 2%;BODEGACENTRAL;0;0;0
ANES011;ANESTESIA MEPIVACAINA 2% TUBO DE VIDRIO - NEW STETIC;BODEGACENTRAL;0;0;0
ANGELUS005;MTA ANGELUS BLANCO;BODEGACENTRAL;0;0;0
ANGELUS007;BIO C SEALER KIT 4 JERINGAS (2 GRAMOS);BODEGACENTRAL;0;0;0
AVDIABALON014;FRESA DIAMANTE BALON DE RUGBY GRANO MEDIO 368 014 AV;BODEGACENTRAL;0;0;0
AVDIABALON014GF;FRESA DIAMANTE BALON DE RUGBY GRANO FINO 368 014 AV;BODEGACENTRAL;0;0;0
AVDIABALON023;FRESA DIAMANTE BALON DE RUGBY 368 023 SUPERFINO AV;BODEGACENTRAL;0;0;0
BANDA003;BANDA MATRIZ MOLAR 7MM X 1 MTS	;BODEGACENTRAL;0;0;0
CAMP80;CAMPO ESTERIL 80X80;BODEGACENTRAL;0;0;0
CEPILLO0004;ESCOBILLAS DE PROFILAXIS MULTICOLOR NYLON;BODEGACENTRAL;0;0;0
CERA001;CERA ROSADA;BODEGACENTRAL;0;0;0
CINTA003;CINTA INDICADOR MULTIPARAMETRO DE ESTERILIZACION P/VAPOR;BODEGACENTRAL;0;0;0
CLEANC001;GUANTE DE LATEX TALLA XS CLEANCARRIER;BODEGACENTRAL;0;0;0
CLEANC002;GUANTE DE LATEX TALLA S CLEANCARRIER;BODEGACENTRAL;0;0;0
CLEANC003;GUANTE DE LATEX TALLA M CLEANCARRIER;BODEGACENTRAL;0;0;0
CLEANC004;GUANTE DE LATEX TALLA L CLEANCARRIER;BODEGACENTRAL;0;0;0
CONOGUTAGAPA003;CONO GUTAPERCHA 25 GAPADENT;BODEGACENTRAL;0;0;0
CONOPAPELGAPA003;CONO PAPEL 25 GAPADENT;BODEGACENTRAL;0;0;0
CONOPAPELGAPA004;CONO PAPEL 30 GAPADENT;BODEGACENTRAL;0;0;0
CONOPAPELGAPA005;CONO PAPEL 35 GAPADENT;BODEGACENTRAL;0;0;0
CONOPAPELGAPA006;CONO PAPEL 40 GAPADENT;BODEGACENTRAL;0;0;0
CONTRAANG001;CONTRA ANGULO PUSH BUTTON LISONG;BODEGACENTRAL;0;0;0
CURAPROX020;CEPILLO 5460 ULTRASOFT CELLOPHANE;BODEGACENTRAL;0;0;0
DAGUJA001;AGUJA CORTA MISAWA 30G;BODEGACENTRAL;0;0;0
DAGUJA003;AGUJAS CORTA TERUMO;BODEGACENTRAL;0;0;0
DAGUJA004;AGUJAS EXTRACORTA MISAWA;BODEGACENTRAL;0;0;0
DAGUJA006;AGUJA CORTA C-K JECT 30G 0,3x21;BODEGACENTRAL;0;0;0
DAGUJA007;AGUJA LARGA C-K JECT 27G 0,4x25;BODEGACENTRAL;0;0;0
DAGUJA008;AGUJA LARGA C-K JECT 27G 0,4x35;BODEGACENTRAL;0;0;0
DBABERO001;BABERO DENTAL CRANBERRY AZUL X 100;BODEGACENTRAL;0;0;0
DBABERO002;PECHERA POLY BIBS CELESTE BOLSA X 125;BODEGACENTRAL;0;0;0
DENCO001;FRESAS PEESO DENCO 32MM N°1;BODEGACENTRAL;0;0;0
DENCO002;FRESAS PEESO DENCO 32MM N°2;BODEGACENTRAL;0;0;0
DENCO003;FRESAS PEESO DENCO 32MM N°3;BODEGACENTRAL;0;0;0
DENCO008;FRESAS GATES SURTIDAS;BODEGACENTRAL;0;0;0
DENTSPLY005;FRESAS LARGO PEESO N°1;BODEGACENTRAL;0;0;0
DENTSPLY157;MOOSER SYSTEM 55C 95/10 - 115/10 - 135/10 250 C/U + LLAVE FRESAS;BODEGACENTRAL;0;0;0
DESENGRASANTE001;DESENGRASANTE EXTRA FUERTE 5 LT;BODEGACENTRAL;0;0;0
DEYECTOR2;EYECTORES DE SALIVA VERDE;BODEGACENTRAL;0;0;0
DLATEX014;LATEX CRANBERRY M LP;BODEGACENTRAL;0;0;0
DLATEX017;LATEX SUPERGUARD S C/P;BODEGACENTRAL;0;0;0
DLATEX020;LATEX CRANBERRY M CP;BODEGACENTRAL;0;0;0
DLATEX024;LATEX MUNCARE M C/P;BODEGACENTRAL;0;0;0
DLATEX036;LATEX MACHTIG XS C/P;BODEGACENTRAL;0;0;0
DNITCLEANL;NITRILO CLEANCARRIER AZUL TALLA L;BODEGACENTRAL;0;0;0
DNITCLEANM;NITRILO CLEANCARRIER AZUL TALLA M;BODEGACENTRAL;0;0;0
DNITCLEANS;NITRILO CLEANCARRIER AZUL TALLA S;BODEGACENTRAL;0;0;0
DNITCLEANXS;NITRILO CLEANCARRIER AZUL TALLA XS;BODEGACENTRAL;0;0;0
DNITMACNEGL;NITRILO MACHTIG NEGRO TALLA L;BODEGACENTRAL;0;0;0
DNITMACNEGM;NITRILO MACHTIG NEGRO TALLA M;BODEGACENTRAL;0;0;0
DNITMACNEGS;NITRILO MACHTIG NEGRO TALLA S;BODEGACENTRAL;0;0;0
DNITMADE001;NITRILO HEALTH TOUCH TALLA XS;BODEGACENTRAL;0;0;0
DNITMADE002;NITRILO HEALTH TOUCH TALLA S;BODEGACENTRAL;0;0;0
DNITMADE003;NITRILO HEALTH TOUCH TALLA M;BODEGACENTRAL;0;0;0
DNITMADE004;NITRILO HEALTH TOUCH TALLA L;BODEGACENTRAL;0;0;0
DNITMERRYL;NITRILO MERRYCARE CELESTE TALLA L;BODEGACENTRAL;0;0;0
DNITMERRYM;NITRILO MERRYCARE CELESTE TALLA M;BODEGACENTRAL;0;0;0
DNITMERRYS;NITRILO MERRYCARE CELESTE TALLA S;BODEGACENTRAL;0;0;0
DNITMERRYXS;NITRILO MERRYCARE CELESTE TALLA XS;BODEGACENTRAL;0;0;0
DNITMUNCS;NITRILO MUNCARE TALLA S;BODEGACENTRAL;0;0;0
DNITTRESBM;NITRILO TRESOR BLANCO M;BODEGACENTRAL;0;0;0
DNITTRESBS;NITRILO TRESOR BLANCO S;B3215;0;0;0
DNITTRESBS;NITRILO TRESOR BLANCO S;BODEGACENTRAL;0;0;0
DNITTRESL;NITRILO TRESOR AZUL L;BODEGACENTRAL;0;0;0
DNITTRESM;NITRILO TRESOR AZUL M;BODEGACENTRAL;0;0;500
DNITTRESS;NITRILO TRESOR AZUL S;BODEGACENTRAL;0;0;500
DNITTRESXS;NITRILO TRESOR AZUL XS;BODEGACENTRAL;0;0;0
DROLLO20-A;ROLLO ESTERILIZACION 20X200 SIN FUELLE - A;BODEGACENTRAL;0;0;0
DVASOS001;VASOS 120CC;BODEGACENTRAL;0;0;0
EQUIPO012;TORQUIMETRO PARA ULTRASONIDO TW-1L WOODPECKER;BODEGACENTRAL;0;0;0
EQUIPO016;TORQUIMETRO PARA ULTRASONIDO SIRONA TS-1L MARCA WOODPECKER;BODEGACENTRAL;0;0;0
ESTERIL60LP;GUANTE ESTERIL 6/0 L/P;BODEGACENTRAL;0;0;0
ESTERIL75;GUANTE ESTERIL 7/5;BODEGACENTRAL;0;0;0
